Questions,weights,min_theoretical_scores,max_theoretical_scores,guess_proba_perc,normalized_weights,min_scores,max_scores,min_normalized_scores,max_normalized_scores,min_normalized_weighted_scores,max_normalized_weighted_scores,min_student_score_points,max_student_score_points,avg_student_score_points,guess_score_points,p,Rit,Rir,stdev,stdev_sp
Speed,1.0,0.0,10.0,0.0,0.1,3,10,0.3,1.0,0.03,0.1,3.0,10.0,8.516129032258064,0.0,0.8516129032258064,0.48304216836070857,0.34453097015740786,0.02079598803326185,2.0795988033261845
Fuel consumption,1.0,0.0,10.0,0.0,0.1,0,7,0.0,0.7,0.0,0.06999999999999999,0.0,6.999999999999999,4.870967741935484,0.0,0.4870967741935484,0.5377604350416747,0.3933845183423387,0.022765754322940257,2.2765754322940257
Design,1.0,0.0,10.0,0.0,0.1,6,10,0.6,1.0,0.06,0.1,6.0,10.0,8.806451612903226,0.0,0.8806451612903226,0.8466956592587064,0.8063970749894955,0.015581902930153662,1.5581902930153662
Production costs,1.0,0.0,10.0,0.0,0.1,3,9,0.3,0.9,0.03,0.09000000000000001,3.0,9.000000000000002,6.548387096774194,0.0,0.6548387096774193,0.635976840594641,0.5382313167341531,0.018409908505552,1.8409908505552
Aerodynamics,1.0,0.0,10.0,0.0,0.1,4,8,0.4,0.8,0.04000000000000001,0.08000000000000002,4.000000000000001,8.000000000000002,6.548387096774194,0.0,0.6548387096774193,0.5434604161954136,0.46063895136401933,0.013865715434701848,1.386571543470185
Summary,1.0,0.0,10.0,0.0,0.1,0,10,0.0,1.0,0.0,0.1,0.0,10.0,6.645161290322581,0.0,0.6645161290322581,0.6028780100400867,0.42397704794114394,0.029501230154777635,2.950123015477764
Correctness,1.0,0.0,10.0,0.0,0.1,0,10,0.0,1.0,0.0,0.1,0.0,10.0,6.129032258064516,0.0,0.6129032258064516,0.730429054540091,0.5621885728349908,0.034228831461588144,3.422883146158815
Completeness,1.0,0.0,10.0,0.0,0.1,2,9,0.2,0.9,0.020000000000000004,0.09000000000000001,2.0000000000000004,9.000000000000002,6.548387096774194,0.0,0.6548387096774193,0.40909225720968934,0.2911392520740163,0.016899449631554937,1.6899449631554937
Presentation,1.0,0.0,10.0,0.0,0.1,2,10,0.2,1.0,0.020000000000000004,0.1,2.0000000000000004,10.0,6.967741935483871,0.0,0.6967741935483871,0.350188492881089,0.17639393631585912,0.023449786206238207,2.34497862062382
Contribution,1.0,0.0,10.0,0.0,0.1,1,10,0.1,1.0,0.010000000000000002,0.1,1.0000000000000002,10.0,4.258064516129032,0.0,0.4258064516129032,0.7051461316041925,0.5979869083573122,0.02265211424061543,2.265211424061543
